t,total_ins_0,"f(0, 0)","f(0, 1)","f(0, 2)","f(0, 3)","f(0, 4)",Soma(0)
1.6200000000,0.9028539118,0.0352461561,0.2141335518,0.3689034444,0.2845707594,0.0971460882,1.0000000000
1.6300000000,0.9028529693,0.0352457882,0.2141326826,0.3689029184,0.2845715801,0.0971470307,1.0000000000
1.6400000000,0.9028520683,0.0352454365,0.2141318517,0.3689024154,0.2845723646,0.0971479317,1.0000000000
1.6500000000,0.9028512068,0.0352451004,0.2141310574,0.3689019344,0.2845731146,0.0971487932,1.0000000000
1.6600000000,0.9028503832,0.0352447791,0.2141302980,0.3689014745,0.2845738315,0.0971496168,1.0000000000
1.6700000000,0.9028495957,0.0352444720,0.2141295721,0.3689010348,0.2845745168,0.0971504043,1.0000000000
1.6800000000,0.9028488429,0.0352441784,0.2141288782,0.3689006143,0.2845751720,0.0971511571,1.0000000000
1.6900000000,0.9028481231,0.0352438978,0.2141282148,0.3689002122,0.2845757983,0.0971518769,1.0000000000
1.7000000000,0.9028474350,0.0352436296,0.2141275806,0.3688998277,0.2845763970,0.0971525650,1.0000000000
1.7100000000,0.9028467770,0.0352433732,0.2141269744,0.3688994601,0.2845769694,0.0971532230,1.0000000000
1.7200000000,0.9028461480,0.0352431281,0.2141263948,0.3688991086,0.2845775165,0.0971538520,1.0000000000
1.7300000000,0.9028455466,0.0352428938,0.2141258407,0.3688987725,0.2845780396,0.0971544534,1.0000000000
1.7400000000,0.9028449717,0.0352426699,0.2141253111,0.3688984511,0.2845785397,0.0971550283,1.0000000000
1.7500000000,0.9028444220,0.0352424558,0.2141248047,0.3688981438,0.2845790177,0.0971555780,1.0000000000
1.7600000000,0.9028438964,0.0352422511,0.2141243206,0.3688978500,0.2845794747,0.0971561036,1.0000000000
1.7700000000,0.9028433939,0.0352420555,0.2141238579,0.3688975690,0.2845799116,0.0971566061,1.0000000000
1.7800000000,0.9028429135,0.0352418685,0.2141234154,0.3688973004,0.2845803292,0.0971570865,1.0000000000
1.7900000000,0.9028424543,0.0352416897,0.2141229925,0.3688970435,0.2845807285,0.0971575457,1.0000000000
1.8000000000,0.9028420152,0.0352415189,0.2141225882,0.3688967980,0.2845811102,0.0971579848,1.0000000000
1.8100000000,0.9028415953,0.0352413555,0.2141222016,0.3688965631,0.2845814751,0.0971584047,1.0000000000
1.8200000000,0.9028411940,0.0352411993,0.2141218321,0.3688963386,0.2845818239,0.0971588060,1.0000000000
1.8300000000,0.9028408102,0.0352410501,0.2141214788,0.3688961239,0.2845821574,0.0971591898,1.0000000000
1.8400000000,0.9028404433,0.0352409073,0.2141211411,0.3688959187,0.2845824763,0.0971595567,1.0000000000
1.8500000000,0.9028400926,0.0352407709,0.2141208182,0.3688957224,0.2845827811,0.0971599074,1.0000000000
1.8600000000,0.9028397572,0.0352406405,0.2141205095,0.3688955348,0.2845830724,0.0971602428,1.0000000000
1.8700000000,0.9028394366,0.0352405158,0.2141202144,0.3688953554,0.2845833510,0.0971605634,1.0000000000
1.8800000000,0.9028391301,0.0352403966,0.2141199322,0.3688951838,0.2845836173,0.0971608699,1.0000000000
1.8900000000,0.9028388370,0.0352402827,0.2141196625,0.3688950198,0.2845838719,0.0971611630,1.0000000000
1.9000000000,0.9028385568,0.0352401738,0.2141194047,0.3688948630,0.2845841154,0.0971614432,1.0000000000
1.9100000000,0.9028382889,0.0352400696,0.2141191582,0.3688947130,0.2845843481,0.0971617111,1.0000000000
1.9200000000,0.9028380328,0.0352399701,0.2141189225,0.3688945697,0.2845845705,0.0971619672,1.0000000000
1.9300000000,0.9028377879,0.0352398749,0.2141186972,0.3688944326,0.2845847832,0.0971622121,1.0000000000
1.9400000000,0.9028375538,0.0352397840,0.2141184818,0.3688943016,0.2845849865,0.0971624462,1.0000000000
1.9500000000,0.9028373300,0.0352396970,0.2141182758,0.3688941763,0.2845851809,0.0971626700,1.0000000000
1.9600000000,0.9028371160,0.0352396138,0.2141180789,0.3688940564,0.2845853668,0.0971628840,1.0000000000
1.9700000000,0.9028369114,0.0352395344,0.2141178907,0.3688939419,0.2845855444,0.0971630886,1.0000000000
1.9800000000,0.9028367158,0.0352394584,0.2141177108,0.3688938324,0.2845857143,0.0971632842,1.0000000000
1.9900000000,0.9028365288,0.0352393857,0.2141175387,0.3688937277,0.2845858767,0.0971634712,1.0000000000
2.0000000000,0.9028363500,0.0352393163,0.2141173743,0.3688936275,0.2845860319,0.0971636500,1.0000000000
2.0100000000,0.9028361791,0.0352392499,0.2141172170,0.3688935318,0.2845861804,0.0971638209,1.0000000000
2.0200000000,0.9028360157,0.0352391864,0.2141170667,0.3688934403,0.2845863223,0.0971639843,1.0000000000
2.0300000000,0.9028358594,0.0352391257,0.2141169230,0.3688933528,0.2845864579,0.0971641406,1.0000000000
2.0400000000,0.9028357101,0.0352390677,0.2141167856,0.3688932691,0.2845865876,0.0971642899,1.0000000000
2.0500000000,0.9028355672,0.0352390123,0.2141166542,0.3688931891,0.2845867116,0.0971644328,1.0000000000
2.0600000000,0.9028354307,0.0352389592,0.2141165286,0.3688931127,0.2845868302,0.0971645693,1.0000000000
2.0700000000,0.9028353001,0.0352389085,0.2141164086,0.3688930395,0.2845869435,0.0971646999,1.0000000000
2.0800000000,0.9028351753,0.0352388601,0.2141162938,0.3688929696,0.2845870518,0.0971648247,1.0000000000
2.0900000000,0.9028350560,0.0352388138,0.2141161840,0.3688929028,0.2845871554,0.0971649440,1.0000000000
2.1000000000,0.9028349419,0.0352387695,0.2141160791,0.3688928389,0.2845872545,0.0971650581,1.0000000000
2.1100000000,0.9028348329,0.0352387271,0.2141159788,0.3688927778,0.2845873491,0.0971651671,1.0000000000
2.1200000000,0.9028347286,0.0352386866,0.2141158829,0.3688927194,0.2845874397,0.0971652714,1.0000000000
2.1300000000,0.9028346289,0.0352386479,0.2141157912,0.3688926635,0.2845875262,0.0971653711,1.0000000000
2.1400000000,0.9028345336,0.0352386109,0.2141157036,0.3688926101,0.2845876089,0.0971654664,1.0000000000
2.1500000000,0.9028344424,0.0352385756,0.2141156198,0.3688925591,0.2845876880,0.0971655576,1.0000000000
2.1600000000,0.9028343553,0.0352385417,0.2141155397,0.3688925102,0.2845877636,0.0971656447,1.0000000000
2.1700000000,0.9028342720,0.0352385094,0.2141154631,0.3688924636,0.2845878359,0.0971657280,1.0000000000
2.1800000000,0.9028341924,0.0352384785,0.2141153898,0.3688924190,0.2845879051,0.0971658076,1.0000000000
2.1900000000,0.9028341162,0.0352384490,0.2141153198,0.3688923763,0.2845879711,0.0971658838,1.0000000000
2.2000000000,0.9028340434,0.0352384207,0.2141152529,0.3688923355,0.2845880343,0.0971659566,1.0000000000
2.2100000000,0.9028339738,0.0352383937,0.2141151889,0.3688922965,0.2845880947,0.0971660262,1.0000000000
2.2200000000,0.9028339073,0.0352383679,0.2141151277,0.3688922592,0.2845881525,0.0971660927,1.0000000000
2.2300000000,0.9028338437,0.0352383432,0.2141150692,0.3688922236,0.2845882077,0.0971661563,1.0000000000
2.2400000000,0.9028337829,0.0352383196,0.2141150133,0.3688921895,0.2845882605,0.0971662171,1.0000000000
2.2500000000,0.9028337247,0.0352382970,0.2141149598,0.3688921569,0.2845883109,0.0971662753,1.0000000000
2.2600000000,0.9028336691,0.0352382754,0.2141149087,0.3688921258,0.2845883592,0.0971663309,1.0000000000
2.2700000000,0.9028336160,0.0352382548,0.2141148599,0.3688920960,0.2845884053,0.0971663840,1.0000000000
2.2800000000,0.9028335651,0.0352382351,0.2141148131,0.3688920675,0.2845884494,0.0971664349,1.0000000000
2.2900000000,0.9028335166,0.0352382163,0.2141147685,0.3688920403,0.2845884916,0.0971664834,1.0000000000
2.3000000000,0.9028334701,0.0352381982,0.2141147258,0.3688920142,0.2845885319,0.0971665299,1.0000000000
2.3100000000,0.9028334257,0.0352381810,0.2141146849,0.3688919893,0.2845885704,0.0971665743,1.0000000000
2.3200000000,0.9028333832,0.0352381645,0.2141146459,0.3688919656,0.2845886072,0.0971666168,1.0000000000
2.3300000000,0.9028333426,0.0352381488,0.2141146086,0.3688919428,0.2845886425,0.0971666574,1.0000000000
2.3400000000,0.9028333038,0.0352381337,0.2141145729,0.3688919211,0.2845886761,0.0971666962,1.0000000000
2.3500000000,0.9028332667,0.0352381193,0.2141145388,0.3688919003,0.2845887083,0.0971667333,1.0000000000
2.3600000000,0.9028332313,0.0352381056,0.2141145062,0.3688918804,0.2845887391,0.0971667687,1.0000000000
2.3700000000,0.9028331973,0.0352380924,0.2141144750,0.3688918614,0.2845887686,0.0971668027,1.0000000000
2.3800000000,0.9028331649,0.0352380798,0.2141144452,0.3688918432,0.2845887967,0.0971668351,1.0000000000
2.3900000000,0.9028331339,0.0352380678,0.2141144167,0.3688918258,0.2845888236,0.0971668661,1.0000000000
2.4000000000,0.9028331043,0.0352380563,0.2141143895,0.3688918092,0.2845888493,0.0971668957,1.0000000000
2.4100000000,0.9028330759,0.0352380453,0.2141143634,0.3688917933,0.2845888739,0.0971669241,1.0000000000
2.4200000000,0.9028330488,0.0352380348,0.2141143385,0.3688917781,0.2845888974,0.0971669512,1.0000000000
2.4300000000,0.9028330229,0.0352380248,0.2141143147,0.3688917636,0.2845889199,0.0971669771,1.0000000000
2.4400000000,0.9028329982,0.0352380152,0.2141142919,0.3688917497,0.2845889414,0.0971670018,1.0000000000
2.4500000000,0.9028329745,0.0352380060,0.2141142702,0.3688917365,0.2845889619,0.0971670255,1.0000000000
2.4600000000,0.9028329519,0.0352379972,0.2141142494,0.3688917238,0.2845889815,0.0971670481,1.0000000000
2.4700000000,0.9028329302,0.0352379888,0.2141142295,0.3688917117,0.2845890003,0.0971670698,1.0000000000
2.4800000000,0.9028329095,0.0352379808,0.2141142104,0.3688917001,0.2845890183,0.0971670905,1.0000000000
2.4900000000,0.9028328898,0.0352379731,0.2141141923,0.3688916890,0.2845890354,0.0971671102,1.0000000000
2.5000000000,0.9028328708,0.0352379658,0.2141141749,0.3688916784,0.2845890518,0.0971671292,1.0000000000
2.5100000000,0.9028328528,0.0352379587,0.2141141583,0.3688916682,0.2845890675,0.0971671472,1.0000000000
2.5200000000,0.9028328355,0.0352379520,0.2141141424,0.3688916585,0.2845890825,0.0971671645,1.0000000000
2.5300000000,0.9028328190,0.0352379456,0.2141141272,0.3688916493,0.2845890969,0.0971671810,1.0000000000
2.5400000000,0.9028328032,0.0352379395,0.2141141127,0.3688916404,0.2845891106,0.0971671968,1.0000000000
2.5500000000,0.9028327880,0.0352379336,0.2141140988,0.3688916320,0.2845891237,0.0971672120,1.0000000000
2.5600000000,0.9028327736,0.0352379280,0.2141140855,0.3688916239,0.2845891362,0.0971672264,1.0000000000
2.5700000000,0.9028327598,0.0352379227,0.2141140728,0.3688916161,0.2845891482,0.0971672402,1.0000000000
2.5800000000,0.9028327466,0.0352379176,0.2141140607,0.3688916087,0.2845891596,0.0971672534,1.0000000000
2.5900000000,0.9028327340,0.0352379127,0.2141140491,0.3688916016,0.2845891706,0.0971672660,1.0000000000
2.6000000000,0.9028327219,0.0352379080,0.2141140380,0.3688915949,0.2845891811,0.0971672781,1.0000000000
2.6100000000,0.9028327104,0.0352379035,0.2141140274,0.3688915884,0.2845891911,0.0971672896,1.0000000000
2.6200000000,0.9028326993,0.0352378992,0.2141140172,0.3688915822,0.2845892006,0.0971673007,1.0000000000
2.6300000000,0.9028326888,0.0352378951,0.2141140075,0.3688915763,0.2845892098,0.0971673112,1.0000000000
2.6400000000,0.9028326787,0.0352378912,0.2141139983,0.3688915707,0.2845892185,0.0971673213,1.0000000000
2.6500000000,0.9028326691,0.0352378875,0.2141139894,0.3688915653,0.2845892269,0.0971673309,1.0000000000
2.6600000000,0.9028326598,0.0352378839,0.2141139809,0.3688915601,0.2845892349,0.0971673402,1.0000000000
2.6700000000,0.9028326510,0.0352378805,0.2141139728,0.3688915552,0.2845892425,0.0971673490,1.0000000000
2.6800000000,0.9028326426,0.0352378772,0.2141139651,0.3688915504,0.2845892499,0.0971673574,1.0000000000
2.6900000000,0.9028326346,0.0352378741,0.2141139577,0.3688915459,0.2845892568,0.0971673654,1.0000000000
2.7000000000,0.9028326269,0.0352378711,0.2141139506,0.3688915416,0.2845892635,0.0971673731,1.0000000000
2.7100000000,0.9028326195,0.0352378683,0.2141139438,0.3688915375,0.2845892699,0.0971673805,1.0000000000
2.7200000000,0.9028326125,0.0352378655,0.2141139374,0.3688915335,0.2845892760,0.0971673875,1.0000000000
2.7300000000,0.9028326057,0.0352378629,0.2141139312,0.3688915298,0.2845892819,0.0971673943,1.0000000000
2.7400000000,0.9028325993,0.0352378604,0.2141139253,0.3688915262,0.2845892874,0.0971674007,1.0000000000
2.7500000000,0.9028325931,0.0352378581,0.2141139196,0.3688915227,0.2845892928,0.0971674069,1.0000000000
2.7600000000,0.9028325873,0.0352378558,0.2141139142,0.3688915194,0.2845892979,0.0971674127,1.0000000000
2.7700000000,0.9028325816,0.0352378536,0.2141139090,0.3688915163,0.2845893027,0.0971674184,1.0000000000
2.7800000000,0.9028325763,0.0352378515,0.2141139041,0.3688915132,0.2845893074,0.0971674237,1.0000000000
2.7900000000,0.9028325711,0.0352378495,0.2141138994,0.3688915104,0.2845893119,0.0971674289,1.0000000000
2.8000000000,0.9028325662,0.0352378476,0.2141138949,0.3688915076,0.2845893161,0.0971674338,1.0000000000
2.8100000000,0.9028325615,0.0352378458,0.2141138905,0.3688915050,0.2845893202,0.0971674385,1.0000000000
2.8200000000,0.9028325570,0.0352378440,0.2141138864,0.3688915025,0.2845893241,0.0971674430,1.0000000000
2.8300000000,0.9028325527,0.0352378424,0.2141138825,0.3688915000,0.2845893278,0.0971674473,1.0000000000
2.8400000000,0.9028325486,0.0352378408,0.2141138787,0.3688914977,0.2845893314,0.0971674514,1.0000000000
2.8500000000,0.9028325447,0.0352378393,0.2141138751,0.3688914955,0.2845893348,0.0971674553,1.0000000000
2.8600000000,0.9028325409,0.0352378378,0.2141138716,0.3688914934,0.2845893380,0.0971674591,1.0000000000
2.8700000000,0.9028325374,0.0352378364,0.2141138683,0.3688914914,0.2845893412,0.0971674626,1.0000000000
2.8800000000,0.9028325339,0.0352378351,0.2141138652,0.3688914895,0.2845893441,0.0971674661,1.0000000000
